Partner Name,Year,Export (US$ Billion)
Ghana,2020,19.43244124
Gibraltar,2020,11.82510664
Guinea,2020,5.8699288
Gambia,2020,1.6297679
Guinea-Bissau,2020,0.46464365
Equatorial Guinea,2020,1.5842518
Greece,2020,54.09618899
Grenada,2020,0.34248026
Greenland,2020,1.5468714
Guatemala,2020,17.13591463
Guam,2020,0.63883167
Guyana,2020,2.37498205
Hong Kong,2020,609.4177221
Heard Island and McDonald Isla,2020,0.00211791
Honduras,2020,10.4650374
Croatia,2020,26.57923217
Haiti,2020,4.47386407
Hungary,2020,107.9189773
Indonesia,2020,145.9451899
India,2020,330.1630513
British Indian Ocean Ter.,2020,0.04520231
Ireland,2020,82.51094299
Iran,2020,31.40123892
Iraq,2020,51.07673627
Iceland,2020,7.98048918
Israel,2020,89.01444015
Italy,2020,410.2292354
Jamaica,2020,4.8281066
Jordan,2020,20.20471233
Japan,2020,593.1731666
Kazakhstan,2020,47.38979348
Kenya,2020,20.05174811
Kyrgyzstan,2020,7.76234818
Cambodia,2020,26.3846116
Kiribati,2020,0.14657309
St. Kitts and Nevis,2020,0.32259911
South Korea,2020,466.4563755
Kuwait,2020,34.65634781
Laos,2020,6.14372442
Lebanon,2020,16.16339235
Liberia,2020,13.47297356
Libya,2020,16.6805651
St. Lucia,2020,3.18213405
Sri Lanka,2020,15.75676344
Lesotho,2020,1.26046731
Lithuania,2020,30.3234508
Luxembourg,2020,23.37207484
Latvia,2020,20.18550682
Macao,2020,10.17840419
Morocco,2020,61.89630975
Moldova,2020,8.48071892
Madagascar,2020,3.48199502
Maldives,2020,1.5757214
Mexico,2020,382.4516279
Marshall Islands,2020,16.87097455
North Macedonia,2020,12.43084888
Mali,2020,5.88605272
Malta,2020,14.7568682
Myanmar,2020,26.74996559
Mongolia,2020,5.17568937
Northern Mariana Islands,2020,0.11899574
Montenegro,2020,3.56084165
Mozambique,2020,11.75611168
Mauritania,2020,3.70202526
Montserrat,2020,0.02088978
Mauritius,2020,4.39539924
Malawi,2020,1.51004961
Malaysia,2020,210.9126345
Namibia,2020,4.56156382
New Caledonia,2020,3.29065764
Niger,2020,1.97147643
Norfolk Island,2020,0.04925204
Nigeria,2020,53.32780917
Nicaragua,2020,5.80458796
Niue,2020,0.02379616
Netherlands,2020,544.7939785
Norway,2020,131.2027265
Nepal,2020,8.37044322
Nauru,2020,0.11751338
New Zealand,2020,38.14880551
"Other Asia, nes",2020,287.6360894
Oman,2020,31.66101501
Pakistan,2020,49.37149774
Panama,2020,37.01873711
Pitcairn,2020,0.00346363
Peru,2020,36.63906615
Philippines,2020,122.7222393
Palau,2020,0.10427763
Papua New Guinea,2020,4.0430824
Poland,2020,265.7901365
North Korea,2020,0.5615958
Portugal,2020,73.78840691
Paraguay,2020,8.36244452
Palestine,2020,1.23383995
French Polynesia,2020,2.15832056
Qatar,2020,35.81669631
Romania,2020,87.70195033
Russia,2020,304.069412
Rwanda,2020,1.84524959
Saudi Arabia,2020,158.94199
Fm,2020,0.07770275
Senegal,2020,13.61382211
Serbia,2020,42.48785496
Singapore,2020,312.6813625
South Sandwich Islands,2020,0.00076346
Saint Helena,2020,0.06238278
Solomon Islands,2020,0.3674332
Sierra Leone,2020,1.39631878
El Salvador,2020,9.50152989
San Marino,2020,0.5450271
Somalia,2020,4.62389406
Special Categories,2020,69.30333243
Saint Pierre and Miquelon,2020,0.13451123
South Sudan,2020,1.1743951
Sao Tome and Principe,2020,0.18574793
Sudan,2020,9.62017009
Suriname,2020,1.57554708
Slovakia,2020,75.25438149
Slovenia,2020,40.36170775
Sweden,2020,135.8630185
Eswatini,2020,1.41389757
Saint Maarten (Dutch part),2020,0.59347716
Seychelles,2020,1.09488431
Syria,2020,5.20981912
Turks and Caicos Isl.,2020,0.32779879
Chad,2020,1.28232793
Togo,2020,12.68430158
Thailand,2020,197.9556778
Tajikistan,2020,3.73196504
Tokelau,2020,0.01384744
Turkmenistan,2020,3.80939478
Timor-Leste,2020,0.62844606
Tonga,2020,0.1912031
Trinidad and Tobago,2020,5.92331734
Tunisia,2020,26.67071195
Turkey,2020,269.1077358
Tuvalu,2020,0.11025206
Tanzania,2020,13.28212951
Uganda,2020,5.28835487
Ukraine,2020,78.36753042
Minor Outlying Islands,2020,1.56218442
Unspecified,2020,483.306588
Uruguay,2020,10.45560585
United States,2020,2702.692879
Uzbekistan,2020,22.05846521
Holy See,2020,0.08566814
St. Vincent and the Grenadines,2020,0.29551745
Venezuela,2020,7.34182134
British Virgin Islands,2020,1.69474385
Vietnam,2020,293.843823
Vanuatu,2020,0.31044978
World,2020,19307.19452
Wallis and Futura Isl.,2020,0.05991536
Samoa,2020,0.36785352
Yemen,2020,11.84634721
South Africa,2020,90.19629561
DR Congo,2020,8.36204533
Zambia,2020,5.51359476
Zimbabwe,2020,4.08926159
